시군명,정류소명,정류소영문명,정류소id,정류소번호,중앙차로여부,관할관청,위치,WGS84위도,WGS84경도
화성시,숙곡리천불사,Sukgok-ri Cheonbulsa,233000718,37237.0,노변정류장,경기도 화성시,경기도 화성시 매송면,37.2479833,126.8983333
화성시,숙곡리천불사,Sukgok-ri Cheonbulsa,233000843,37238.0,노변정류장,경기도 화성시,경기도 화성시 매송면,37.2480833,126.8987167
화성시,숲속자연앤,"Naedong Maeul, Hanshin Apartment",233001983,37951.0,노변정류장,경기도 화성시,경기도 화성시 능동,37.20715,127.0600333
화성시,숲속자연앤,Supsok Jayeon-n Apartment,233001984,37952.0,노변정류장,경기도 화성시,경기도 화성시 반송동,37.2072,127.0603833
화성시,숲풀안앞,Suppuran,233001875,37784.0,노변정류장,경기도 화성시,경기도 화성시 서신면,37.1742,126.68565
화성시,숲풀안앞,Suppuran,233001876,37783.0,노변정류장,경기도 화성시,경기도 화성시 서신면,37.1742833,126.6856
화성시,슈마타운,Shuma Town,233000471,36878.0,노변정류장,경기도 화성시,경기도 화성시 우정읍,37.03605,126.8034833
화성시,슈마타운,Shuma Town,233001050,36827.0,노변정류장,경기도 화성시,경기도 화성시 우정읍,37.0363,126.8035
화성시,슬항1리.절골,"Seunghang 1-ri, Jeolgol",233002810,,노변정류장,경기도 화성시,,37.1935,126.7640833
화성시,슬항1리.절골,"Seunghang 1-ri, Jeolgol",233002811,,노변정류장,경기도 화성시,,37.1935333,126.7642167
화성시,슬항2리,Seulhang 2-ri ,233002870,,노변정류장,경기도 화성시,,37.20075,126.7582833
화성시,슬항2리,Seunghang 2-ri ,233002869,,노변정류장,경기도 화성시,,37.2006833,126.75835
화성시,슬항3리,Seulhang 3-ri,233002153,55096.0,노변정류장,경기도 화성시,경기도 화성시 마도면,37.2093333,126.7628833
화성시,시1동,Si 1-dong,233002589,,노변정류장,경기도 화성시,,37.2372167,126.8034667
화성시,시1동,Si 1-dong,233002577,,노변정류장,경기도 화성시,,37.2375333,126.8032333
화성시,시2동,Si 2-dong,233003069,,노변정류장,경기도 화성시,,37.2423333,126.8023667
화성시,시2동,Si 2-dong,233003070,,노변정류장,경기도 화성시,,37.2422333,126.8021833
화성시,시장앞,Market,233001246,36937.0,노변정류장,경기도 화성시,경기도 화성시 우정읍,37.0846667,126.8194833
화성시,시장앞,Market,233001247,36936.0,노변정류장,경기도 화성시,경기도 화성시 우정읍,37.0849167,126.8193
화성시,신경대학,Shingyeong University,233002708,,노변정류장,경기도 화성시,,37.2030667,126.8399833
화성시,신남1통,Sinnam 1-tong,233002011,55059.0,노변정류장,경기도 화성시,,37.1806,126.8180333
화성시,신남1통,Sinnam 1-tong,233002826,,노변정류장,경기도 화성시,,37.18445,126.8129333
화성시,신남1통,Sinnam 1-tong,233002188,55317.0,노변정류장,경기도 화성시,,37.1804667,126.8180833
화성시,신남1통,Sinnam 1-tong,233002521,,노변정류장,경기도 화성시,,37.1805333,126.8179333
화성시,신남1통마을입구,Sinnam 1-tong Maeul ,233002823,,노변정류장,경기도 화성시,,37.1864,126.81785
화성시,신남2통,Sinnam 2-tong,233002819,,노변정류장,경기도 화성시,,37.1836,126.79955
화성시,신남2통,Sinnam 2-tong,233002820,,노변정류장,경기도 화성시,,37.1834833,126.79965
화성시,신남3통,Sinnam 3-tong,233002818,,노변정류장,경기도 화성시,,37.17635,126.7979167
화성시,신남3통,Sinnam 3-tong,233002817,,노변정류장,경기도 화성시,,37.1764167,126.7977667
화성시,신남3통.돌문안,"Sinnam 3-tong, Dolmunan",233002827,,노변정류장,경기도 화성시,,37.1746833,126.8063167
화성시,신남3통.돌문안,"Sinnam 3-tong, Dolmunan",233002825,,노변정류장,경기도 화성시,,37.17475,126.8062333
화성시,신남3통.서부경찰서,"Sinnam 3-tong, Seobu Police Station",233002008,55058.0,노변정류장,경기도 화성시,,37.1762833,126.8145833
화성시,신남3통.서부경찰서,"Sinnam 3-tong, Seobu Police Station ",233002009,55061.0,노변정류장,경기도 화성시,,37.1759833,126.8145833
화성시,신남3통.은강교,"Sinnam 3-tong, Eunganggyo Bridge",233003004,,노변정류장,경기도 화성시,,37.1752667,126.8089
화성시,신남3통.은강교,"Sinnam 3-tong, Eunganggyo Bridge",233003005,,노변정류장,경기도 화성시,,37.17535,126.8089
화성시,신남3통마을회관,Sinnam 3-tong Community Center,233002821,,노변정류장,경기도 화성시,,37.1731833,126.8012167
화성시,신남3통마을회관,Sinnam 3-tong Community Center,233002917,,노변정류장,경기도 화성시,,37.1732,126.8014
화성시,신남4통,Sinnam 4-tong,233002014,55060.0,노변정류장,경기도 화성시,,37.1861167,126.8199333
화성시,신남4통,Sinnam 4-tong,233002012,37777.0,노변정류장,경기도 화성시,,37.1826167,126.8192
화성시,신남4통,Sinnam 4-tong,233002015,55056.0,노변정류장,경기도 화성시,,37.1887,126.8210333
화성시,신남4통,Sinnam 4-tong,233002824,,노변정류장,경기도 화성시,,37.1826333,126.8190667
화성시,신남4통,Sinnam 4-tong,233002013,55057.0,노변정류장,경기도 화성시,,37.1859,126.8198
화성시,신남4통,Sinnam 4-tong,233002186,55278.0,노변정류장,경기도 화성시,,37.1886167,126.8208333
화성시,신남동(경유),,277102092,,,,,37.1708667,126.8125667
화성시,신도브레뉴아파트,Sindo Branew Apartment ,233001714,37748.0,노변정류장,경기도 화성시,경기도 화성시 반송동,37.1920333,127.07385
화성시,신동아아파트,,233533260,,,,,37.2224,126.9591167
화성시,신동아파밀리에,SindongAh Familie Apartment ,233000953,55378.0,노변정류장,경기도 화성시,경기도 화성시 봉담읍,37.2203667,126.9567667
화성시,신동아파밀리에,SindongAh Familie Apartment ,233002638,37480.0,노변정류장,경기도 화성시,,37.2201833,126.9573333
화성시,신라주유소앞,Silla Gas Station,233001822,37878.0,노변정류장,경기도 화성시,경기도 화성시 정남면,37.16255,126.9757167
화성시,신라주유소앞,Silla Gas Station,233002999,,노변정류장,경기도 화성시,,37.1626833,126.9758
화성시,신라호텔공항버스정류장,Shilla Hotel Airport Bus Stop,233002558,55313.0,,경기도 화성시,,37.2024167,127.07355
화성시,신리고,,233000209,55464.0,,,,37.1816833,127.1220667
