ars,emd_cd,sttn_nm
36914,4159135030,노진초등학교
36917,4159135029,장안여자중학교
36918,4159125031,기아생활관
36920,4159125030,고온리종점
36921,4159125030,매향2리
36922,4159125030,매향2리
36923,4159125025,멱우2리
36924,4159135022,석포3리
36925,4159125321,발안만세시장
36926,4159135022,석포산업단지
36927,4159135022,석포5리.방농장
36928,4159135022,석포5리마을회관
36929,4159134027,정미소앞
36930,4159134027,노하2리
36931,4159134025,구장1리
36932,4159134031,서근리(느락골)
36933,4159134031,서근리
36934,4159134032,월문리
36935,4159135026,덕다1리
36936,4159125032,시장앞
36937,4159125032,시장앞
36938,4159133021,전곡항입구
36939,4159133021,전곡항입구
36940,4159125031,화산1리마을회관
36941,4159125031,화산1리종점
36942,4159135026,덕다1리
36943,4159711100,꽃가마약수터
36944,4159711100,한국제지
36945,4159711100,한원IC
36947,4159133025,살고지입구
36948,4159710200,나루마을상가
36950,4159125029,두레자연중고교
36951,4159125029,두레자연중고등학교
36952,4159125029,석천초등학교
36953,4159125029,돌담학습체험장
36954,4159125029,석천리
36955,4159125029,석천4리종점
36956,4159125030,석천3리
36957,4159333027,외골
36958,4159136024,송산교차로
36959,4159510100,송산교입구
36960,4159710300,이주단지
36961,4159710200,이주단지
36962,4159125027,주곡1리입구
36963,4159125021,원안2리
36964,4159125026,만세길방문자센터.화수2리
36965,4159135028,금의2리
36966,4159125021,거물마을
36967,4159125021,원안1리종점
36971,4159134021,하저리마을회관
36972,4159131029,청원3리입구
36975,4159325022,내리
36976,4159325021,상2리입구
36977,4159125621,화성시청
36978,4159125621,샘터교차로
36980,4159135025,장명초분교
36981,4159135024,장안9리입구
36983,4159135025,장안제일교회
36985,4159135025,장안6리
36986,4159135024,장안9리입구
36987,4159125026,화수초등학교
36988,4159125026,화수3리
36990,4159125030,노루물입구
36993,4159711500,신미주아파트
36994,4159710200,동탄파라곤
36995,4159710200,동탄파라곤
36996,4159510900,융건릉입구
36997,4159510900,융건릉입구
36998,4159510900,중외제약사거리
36999,4159510900,중외제약사거리
37000,4159310200,기안2통.우방메가시티아파트
37001,4159133025,제부도입구
37002,4159133025,제부도입구
37003,4159711500,동탄초교
37004,4159711100,서연중고등학교
37005,4159711100,서연중고등학교
37006,4159133025,개경촌
37007,4159133025,개경촌
37008,4159133025,살고지입구
37011,4159325035,하기등리
37012,4159133025,송교1리
37013,4159133025,송교1리
37014,4159133025,큰말입구
37015,4159133025,큰말입구
37016,4159133024,장외리.지긋말
37017,4159133024,장외리.지긋말
37018,4159125339,화성시남부복지관
37020,4159133024,장외리
37021,4159133024,장외리
37022,4159133030,궁평항
37025,4159133030,궁평해수욕장
37026,4159133030,궁평해수욕장
37028,4159332028,골재장
37029,4159133030,박고지
37030,4159133030,박고지
37031,4159133023,광평리
37032,4159133023,광평리
37033,4159332028,골재장
37034,4159125621,남양현대2차
37036,4159125628,북양3리
37037,4159711100,엘크루아파트
37038,4159711100,엘크루아파트
37039,4159711100,호수하우스디
37040,4159133028,매화리
37041,4159133028,매화리
37042,4159711100,금호어울림2차
37043,4159133028,서신
37044,4159711100,호수하우스디
37045,4159133028,서신터미널
37046,4159132033,중송1리
37047,4159711100,금호어울림2차
37048,4159133022,상안1.2리
37049,4159133022,상안1.2리
37050,4159325023,쌍용아파트
37051,4159134026,율암온천
37054,4159133022,상안2리.SK주유소
37056,4159125325,구문천2리종점
37057,4159133022,상안2리.SK주유소
37058,4159133022,상안1리
37059,4159133022,상안1리
37061,4159133022,신흥사
37062,4159133022,신흥사
37065,4159134023,기천1리
37066,4159134023,기천1리
37067,4159310200,기배동행정복지센터
37068,4159132034,육일2리.코스코밸리
37069,4159132034,육일2리.코스코밸리
37070,4159132026,쌍정리
37072,4159711500,금강1차.왕배초
37073,4159710600,동원.다원중
37076,4159132021,사강2리
37079,4159132026,쌍정2리
37080,4159132021,사강복지회관
37081,4159132021,사강복지회관
37082,4159711100,서연초.제일풍경채
37083,4159132026,쌍정1리.복우물
37084,4159132021,사강시장
37085,4159132021,사강시장
37086,4159711000,세정초.하우스디
37087,4159132025,고정4리
37088,4159132022,사강정형외과
37089,4159132021,송산농협.사강정형외과
37090,4159132025,정보화마을
37091,4159711100,제일풍경체.서연초
37094,4159132022,봉가1리
37095,4159132022,봉가1리
37096,4159132025,고정2리
37097,4159132023,돼지고개.삼존리물미
37098,4159132023,돼지고개.삼존리물미
37099,4159132023,삼존리
37100,4159132023,삼존리자동차성능시험장
37101,4159131026,구리섬휴게소
37102,4159131026,구리섬휴게소
37103,4159131026,외국인보호소
37104,4159131026,외국인보호소
37105,4159131022,마도사거리
37106,4159131022,마도사거리
37107,4159131022,재래시장.마도삼거리
37108,4159131022,재래시장.마도삼거리
37109,4159131022,두곡리
37110,4159131022,두곡리
37111,4159131025,바이오밸리
37112,4159711500,왕배초.금강1차
37113,4159325023,쌍용아파트
37114,4159131022,은장고개
37115,4159131022,쌍송리입구.은장고개
37116,4159131024,은장공단
37117,4159131024,은장공단
37118,4159131024,쌍송공단
37119,4159131024,쌍송공단
37122,4159135021,어은삼거리
37124,4159135021,어은4리
37125,4159135021,어은4리
37126,4159135027,장안면행정복지센터
37127,4159135027,장안면행정복지센터
37128,4159332022,남전2리종점
37129,4159135027,사랑리
37130,4159135027,사랑리
37131,4159135026,덕다리입구
37134,4159711500,반도8차
37135,4159325026,호수마을
37136,4159135024,독정1리
37137,4159135024,독정1리
37138,4159125322,우림주공아파트
37139,4159135024,독정삼거리
37140,4159135024,독정삼거리
37141,4159135024,독정2리
37142,4159135024,독정2리
37143,4159310200,기배동행정복지센터
37144,4159332024,삼화1리
37145,4159325025,와우사거리
37146,4159325025,와우사거리
37147,4159135024,감드러지.독정3리
37148,4159135024,감드러지.독정3리
37149,4159325025,임광3차정문
37150,4159325025,임광3차중문
37151,4159135024,독정3리.거묵골
37152,4159135024,독정3리
37153,4159332021,양노3리
37154,4159332021,양노리
37155,4159135024,독정4리
37156,4159135024,독정4리
37157,4159135023,꽃밭.식염온천
37158,4159135023,꽃밭.식염온천
37159,4159135023,용당골
37160,4159135023,수촌2리.용당골
37161,4159332024,삼화리.천산아파트
37162,4159332021,삼화리
37163,4159325025,임광1.2단지
37164,4159134021,하저3리.한미약품
37165,4159134021,하저3리.한미약품
37166,4159135023,성문
37167,4159135023,성문
37168,4159332024,천산아파트
37169,4159332021,천산아파트
37170,4159332021,비봉초등학교후문.삼화3리
37171,4159332021,비봉초등학교후문
37172,4159125324,상신3리.검정골
37173,4159134026,하저4리입구
37175,4159332024,비봉성당
37176,4159332025,비봉성당
37177,4159332021,과학화예비군훈련장앞
37179,4159134036,해창2리.능인대학원대학교
37181,4159134026,율암2리.쇄네
37182,4159134026,율암2리.쇄네
37183,4159332021,비봉중고교.비봉면행정복지센터
37184,4159125322,우림주공아파트
37185,4159332028,자안리
37186,4159332021,비봉중고교.비봉면행정복지센터
37188,4159332021,양노리
37189,4159332028,자안리
37190,4159134026,팔탄공단앞
37191,4159134026,팔탄공단앞
37192,4159332028,자안리
37193,4159331025,야목리
37194,4159331025,매송휴먼시아
37195,4159132034,육일1리입구
37196,4159132034,육일1리입구
37197,4159332028,청요사거리
37198,4159333028,신리주유소앞
37199,4159332027,청요사거리
37200,4159332025,구포리과수원
37201,4159134026,율암삼거리
37203,4159131025,바이오밸리
37204,4159134026,율암삼거리
37205,4159134035,해창1리.우리꽃식물원
37206,4159134035,해창1리.우리꽃식물원
37207,4159332025,구포리과수원
37208,4159134022,금산사입구
37209,4159134022,금산사입구
37210,4159331027,원리
37211,4159331027,원리
37212,4159332027,청요3리
37213,4159332027,청요3리마을회관
37214,4159331027,송라1리
37215,4159331026,송라리
