node_id,ars_no,name,lon,lat,in_hwaseong
GGB203000338,4232,광교역사공원.광교카페거리,127.052967,37.295217,0
GGB203000339,4318,수원광교박물관.광교이마트,127.049567,37.29645,0
GGB203000341,4320,광교호반베르디움트라엘.광교해모로,127.051667,37.30465,0
GGB203000342,4321,광교호반베르디움트라엘.광교해모로,127.0514,37.304117,0
GGB203000343,4322,광교e편한세상2차.광교중학교,127.046583,37.305433,0
GGB203000344,4323,광교중학교.광교e편한세상2차,127.04645,37.30525,0
GGB203000345,4325,망포역4번출구.영통2동행정복지센터,127.05545,37.245933,0
GGB203000346,4326,망포역3번출구.망포그대가프리미어.골든스퀘어,127.054983,37.245517,0
GGB203000351,4331,경기중앙지방변호사회관.수원지방법원,127.06625,37.292033,0
GGB203000352,4342,광교에일린의뜰.광교호수공원,127.059933,37.278833,0
GGB203000353,4343,광교에일린의뜰.광교호수공원,127.06015,37.278867,0
GGB203000354,4332,동수원세무소.영통역2번출구,127.0727,37.25065,0
GGB203000355,4384,수원가정법원.훼미리타워,127.07455,37.255183,0
GGB203000356,4340,호반베르디움,127.04465,37.305467,0
GGB203000357,4341,호반베르디움,127.043967,37.30545,0
GGB203000359,4345,수원시동부차고지,127.078483,37.28685,0
GGB203000360,4346,수원시동부차고지,127.0785,37.286967,0
GGB203000374,4360,동부차고지,127.07805,37.286667,0
GGB203000379,4365,삼성디지털시티정문,127.0543,37.254517,0
GGB203000380,4366,삼성디지털시티정문,127.053917,37.254633,0
GGB203000391,4379,광교더리브.힐스테이트레이크,127.062233,37.289167,0
GGB203000395,4389,광교2동주민센터,127.070233,37.292983,0
GGB203000397,4394,광교휴먼시아32단지.이의고교,127.068567,37.29425,0
GGB203000399,4396,광교중앙.경기도청.아주대역환승센터,127.051883,37.288483,0
GGB203000400,4397,광교중앙.경기도청.아주대역환승센터,127.051633,37.288317,0
GGB203000401,4395,광교역사공원.광교카페거리,127.054633,37.29575,0
GGB203000412,4391,수원광교행복주택아파트,127.036883,37.29545,0
GGB203000424,4411,수원시도시안전통합센터,127.048,37.29915,0
GGB203000425,4412,광교사회복지관,127.046433,37.299917,0
GGB203000428,4415,광교사회복지관,127.0461,37.299883,0
GGB203000429,4416,수원시도시안전통합센터,127.047883,37.299017,0
GGB203000430,4417,광교이마트,127.049333,37.297983,0
GGB203000431,4418,광교이마트,127.049267,37.297683,0
GGB203000433,4420,수원컨벤션센터.광교갤러리아백화점.중흥s클래스,127.056833,37.284467,0
