route_id,seq,station_id,updown,acc_m
208000018,75,225000171,B,26400.0
208000019,74,208000102,B,35640.0
208000019,75,208000209,B,36120.0
208000019,76,208000101,B,36340.0
208000019,77,208000100,B,36540.0
208000019,78,208000099,B,36670.0
208000019,79,208000098,B,36870.0
208000019,80,208000097,B,37060.0
208000019,81,208000096,B,37230.0
208000020,1,208000236,F,
208000020,2,208000110,F,150.0
208000020,3,208000109,F,330.0
208000020,4,208000108,F,590.0
208000020,5,208000107,F,690.0
208000020,6,208000106,F,900.0
208000020,7,208000208,F,1110.0
208000020,8,208000074,F,1580.0
208000020,9,208000073,F,1900.0
208000020,10,208000072,F,2130.0
208000020,11,208000071,F,2410.0
208000020,12,208000070,F,2830.0
208000020,13,208000118,F,3100.0
208000020,14,208000117,F,3540.0
208000020,15,208000116,F,4470.0
208000020,16,208000037,F,4910.0
208000020,17,117000013,F,5650.0
208000020,18,117000011,F,6530.0
208000020,19,117000009,F,7040.0
208000020,20,117000007,F,7830.0
208000020,21,117000005,F,8380.0
208000020,22,117000003,F,8940.0
208000020,23,117000061,F,9760.0
208000020,24,117000111,F,10580.0
208000020,25,117000112,F,10900.0
208000020,26,120000016,F,11480.0
208000020,27,120000445,F,11760.0
208000020,28,120000017,F,11960.0
208000020,29,120000018,F,12610.0
208000020,30,120000160,F,13070.0
208000020,31,120000019,F,13340.0
208000020,32,120000020,F,14030.0
208000020,33,120000021,F,14490.0
208000020,34,120000022,F,15060.0
208000020,35,120000023,F,15350.0
208000020,36,120000024,F,15680.0
208000020,37,120000025,F,16240.0
208000020,38,120000026,F,16910.0
208000020,39,120000027,F,17210.0
208000020,40,120000059,B,17670.0
208000020,41,120000672,B,18110.0
208000020,42,120000061,B,18910.0
208000020,43,220000002,B,19820.0
208000020,44,220000009,B,20950.0
208000020,45,220000008,B,22080.0
208000020,46,220000007,B,22510.0
208000020,47,220000006,B,23000.0
208000020,48,220000005,B,23430.0
208000020,49,220000004,B,23710.0
208000020,50,220000003,B,24270.0
208000020,51,220000030,B,25120.0
208000020,52,220000029,B,25410.0
208000020,53,220000082,B,26040.0
208000020,54,209000116,B,26880.0
208000020,55,209000259,B,27280.0
208000020,56,209000115,B,27490.0
208000020,57,209000052,B,27840.0
208000020,58,209000051,B,28220.0
208000020,59,209000050,B,28750.0
208000020,60,209000049,B,29120.0
208000020,61,209000048,B,29490.0
208000020,62,209000047,B,29850.0
208000020,63,209000229,B,30010.0
208000020,64,209000046,B,30380.0
208000020,65,209000045,B,30610.0
208000020,66,208000115,B,31130.0
208000020,67,208000114,B,31610.0
208000020,68,208000066,B,31960.0
208000020,69,208000065,B,32340.0
208000020,70,208000064,B,32660.0
208000020,71,208000105,B,33000.0
208000020,72,208000104,B,33380.0
208000020,73,208000103,B,33890.0
208000020,74,208000102,B,34200.0
208000020,75,208000209,B,34680.0
208000020,76,208000101,B,34900.0
208000020,77,208000100,B,35100.0
208000020,78,208000099,B,35230.0
208000020,79,208000098,B,35430.0
208000020,80,208000097,B,35620.0
208000020,81,208000096,B,35790.0
208000021,1,208000380,F,
208000021,2,208000267,F,350.0
208000021,3,208000268,F,1160.0
208000021,4,208000270,F,1480.0
208000021,5,208000012,F,1600.0
208000021,6,208000011,F,1870.0
208000021,7,208000089,F,2160.0
208000021,8,208000205,F,2670.0
208000021,9,208000204,F,3030.0
208000021,10,208000158,F,3450.0
208000014,2,225000428,F,290.0
208000014,3,225000426,F,470.0
208000014,4,225000434,F,650.0
208000014,5,225000199,F,2350.0
208000014,6,225000198,F,2490.0
208000014,7,225000188,F,2550.0
208000014,8,225000189,F,2660.0
208000014,9,225000180,F,3580.0
